state,min(misalary),max(maxsalary)
,45775,306000
PA,59000,210000
OR,48000,200000
VA,51000,170000
MA,65000,170000
CA,53000,170000
NC,50000,160000
CO,52000,160000
MD,66000,160000
DC,40000,160000
IL,37000,160000
NY,55000,150000
MI,84000,150000
KY,110000,150000
TX,47000,140000
IN,44000,140000
NJ,60000,140000
MO,51000,140000
OH,44000,140000
NM,110000,140000
FL,65000,130000
WA,56000,130000
UT,91000,120000
WI,80000,110000
TN,81000,110000
GA,58000,110000
SC,88000,110000
IA,79000,100000
MN,40000,88000
RI,59000,83000